ID_ucitelja,ID_predmeta
31,239
10,878
333,746
592,872
618,692
554,611
5,579
205,429
848,543
590,397
478,113
92,653
549,407
759,112
427,155
959,978
115,716
853,957
222,909
391,501
448,330
452,328
328,440
838,444
352,959
684,677
675,656
919,214
19,584
814,769
873,108
905,455
100,877
695,761
320,553
460,722
219,220
716,555
752,425
746,204
387,323
513,851
692,492
63,899
110,515
559,223
305,502
47,450
121,717
91,747
810,321
279,726
515,187
682,911
62,837
423,928
257,985
785,968
775,282
784,237
108,246
957,201
825,837
277,562
591,122
737,578
244,832
721,636
679,170
694,304
360,107
344,759
668,351
667,29
850,755
659,726
599,838
926,783
804,137
426,364
237,139
681,631
459,58
505,586
655,470
418,121
279,284
489,903
984,218
722,21
787,725
978,219
26,765
96,449
152,413
365,264
377,112
72,187
713,13
399,186
72,537
758,167
114,310
394,20
75,446
495,887
785,211
823,641
114,49
305,284
530,910
581,376
719,278
575,398
660,99
431,860
101,770
689,23
550,17
269,351
288,607
78,859
775,901
847,135
533,359
718,786
981,241
774,843
568,11
609,792
402,500
716,99
497,546
230,771
86,787
950,653
85,793
947,448
704,486
533,978
64,683
574,413
179,354
969,914
642,92
16,220
515,897
82,684
176,937
217,665
225,649
76,338
531,617
201,543
665,512
801,690
899,267
292,493
262,810
592,233
61,960
518,822
382,988
912,736
9,777
445,132
155,331
395,348
526,386
70,749
906,915
20,896
196,477
738,105
273,248
790,383
842,130
131,734
796,624
909,724
673,664
995,798
643,115
596,595
133,378
787,503
262,165
148,337
527,435
617,830
651,172
803,575
983,1
38,237
634,778
172,612
820,325
340,884
446,142
732,886
919,241
813,876
132,137
16,808
582,57
579,685
613,145
853,486
907,193
441,112
177,75
674,345
272,176
37,61
330,379
258,414
217,458
278,583
855,773
833,297
52,982
94,649
715,866
675,690
216,982
462,83
658,117
580,606
98,574
913,557
725,244
657,126
174,683
274,733
911,882
839,14
134,988
169,321
537,278
753,785
431,230
481,703
52,635
430,58
34,36
449,528
861,895
404,94
120,444
148,391
552,681
750,689
602,577
560,625
39,310
570,311
227,228
406,445
558,519
711,719
283,128
834,111
299,181
138,974
667,258
617,384
627,954
95,906
191,88
767,865
640,313
969,279
302,729
69,129
550,804
830,502
573,810
485,646
374,824
782,91
494,312
602,378
248,694
304,558
374,548
430,631
902,106
325,967
656,950
832,513
349,151
586,222
530,277
304,922
210,846
818,509
231,524
285,978
308,527
541,939
762,359
916,773
375,953
94,973
557,358
756,992
87,447
197,809
364,559
547,109
72,106
628,439
854,254
341,839
781,785
632,272
531,272
103,483
762,687
95,696
529,674
129,902
722,480
228,279
960,370
445,794
218,665
41,238
62,678
685,761
205,511
181,991
424,115
367,538
407,650
222,130
930,7
983,616
243,747
952,576
453,209
866,330
271,883
637,798
670,884
929,769
629,993
986,533
934,70
147,216
876,724
227,356
572,773
518,814
299,450
531,30
861,736
977,431
355,227
157,795
639,564
876,968
846,801
963,15
520,33
665,467
21,761
528,479
344,731
877,209
643,974
299,97
797,11
708,657
630,840
90,679
881,537
726,358
529,369
437,678
927,429
209,256
524,499
47,570
614,334
768,144
760,108
83,933
564,124
941,267
61,211
1000,173
236,950
66,270
784,211
128,231
969,280
706,203
123,400
813,457
138,520
53,44
448,384
379,485
660,912
317,28
821,353
542,752
736,703
635,588
527,164
390,271
976,121
267,740
123,634
676,551
640,116
13,882
375,572
739,987
721,810
594,402
725,390
118,192
9,600
358,315
114,943
435,659
493,821
770,510
99,929
22,51
391,695
52,317
326,767
106,128
838,477
804,828
724,975
313,567
128,818
703,392
264,848
563,185
140,181
959,759
54,592
702,308
885,301
682,675
982,685
416,971
756,884
192,294
636,85
268,233
689,953
852,532
777,660
452,906
402,189
467,72
410,187
708,673
647,856
936,143
421,440
883,178
108,827
507,642
434,493
350,217
603,440
147,444
481,29
762,702
629,753
627,103
895,245
252,208
336,531
843,732
524,570
34,387
674,456
245,916
415,506
661,311
756,251
177,569
82,400
50,208
544,795
860,126
682,261
129,549
467,597
287,628
536,701
250,653
760,269
927,387
981,862
67,82
197,945
137,303
907,261
782,592
500,881
107,443
292,431
382,841
168,187
307,787
472,78
593,388
807,121
344,355
823,276
338,131
621,285
674,750
501,145
63,87
543,558
710,981
961,594
450,849
405,343
781,793
918,960
921,115
815,80
81,364
280,242
389,105
943,485
980,883
85,546
888,524
730,92
611,713
299,973
699,363
782,597
571,898
437,890
485,743
793,568
596,440
519,799
769,353
422,951
669,555
261,178
324,237
155,913
270,613
524,961
649,357
369,456
56,795
729,55
344,483
641,341
940,836
928,575
507,102
862,789
684,435
37,2
97,308
902,105
235,821
679,765
340,43
45,910
280,833
378,468
9,44
622,704
267,322
221,86
853,842
305,532
571,183
601,131
671,759
8,295
528,144
326,186
76,834
341,477
572,621
112,824
461,338
886,456
735,709
327,834
4,644
169,473
664,819
698,67
851,515
221,806
34,741
199,366
861,665
259,463
759,375
321,728
227,592
521,934
251,202
840,922
20,988
981,846
991,511
156,358
241,617
810,109
724,946
111,135
590,808
927,141
95,481
87,762
680,927
328,620
604,460
797,626
161,500
117,189
635,320
213,822
221,832
614,72
129,862
693,272
968,844
604,100
595,703
487,277
248,480
352,382
156,633
383,82
663,173
455,638
934,27
472,562
991,856
214,73
467,961
784,974
849,708
304,317
47,709
259,977
918,99
608,333
274,533
341,290
612,821
836,377
523,382
807,86
976,600
634,460
914,659
101,92
480,966
96,502
68,638
62,110
211,362
653,777
522,834
997,594
922,114
803,167
698,353
627,140
732,473
292,340
299,489
702,454
866,918
788,877
794,20
667,807
733,827
743,754
458,215
148,814
269,963
882,114
47,329
734,674
964,185
572,578
895,73
657,335
668,69
397,741
18,400
681,506
886,209
95,989
41,847
791,47
531,347
714,860
57,241
756,674
682,164
181,591
456,41
701,205
329,277
853,28
228,526
227,882
577,489
118,406
267,928
851,712
587,838
603,155
323,318
848,584
415,311
893,619
696,795
847,47
754,118
886,807
51,115
56,130
281,959
22,798
716,58
515,150
166,158
395,520
370,903
580,407
625,383
115,626
668,462
180,995
771,777
103,114
143,384
984,653
366,289
144,650
868,590
400,693
477,686
573,855
174,267
489,388
338,61
124,943
751,152
167,418
543,192
677,820
630,877
13,565
131,235
716,190
331,803
585,624
581,381
915,495
910,300
125,892
282,247
437,992
171,634
617,508
13,801
974,896
117,840
137,520
821,116
263,924
687,805
203,193
517,90
826,479
206,452
382,191
598,235
212,554
246,392
216,541
729,893
901,451
143,40
580,712
595,473
693,719
332,428
800,581
822,229
549,705
204,417
914,198
449,778
288,620
437,374
509,380
198,60
340,555
462,728
398,581
629,152
905,149
528,390
652,927
608,698
633,884
186,703
439,120
28,576
749,164
705,820
16,153
204,715
199,161
898,14
823,476
900,911
155,175
622,89
979,511
289,956
717,980
43,609
442,685
110,123
940,704
924,925
967,135
124,469
636,190
125,203
451,442
613,820
865,799
699,690
39,422
176,815
960,544
726,144
577,427
357,609
101,5
365,643
180,449
219,743
790,584
883,89
11,888
889,36
893,692
737,887
999,382
307,237
936,639
323,303
740,513
997,844
530,484
156,451
516,790
753,242
530,864
784,804
382,407
737,350
859,704
251,754
642,864
77,423
830,306
538,155
324,194
951,238
582,371
291,499
700,117
885,654
173,239
7,904
850,351
672,506
310,110
722,129
314,638
338,654
467,459
666,719
711,98
826,166
397,128
823,721
731,146
217,662
469,597
889,585
422,697
442,119
990,5
395,78
770,131
311,95
941,419
603,282
647,128
448,449
417,656
215,785
538,892
951,311
241,57
905,281
315,523
569,407
30,119
75,774
778,758
973,310
606,951
481,109
50,705
604,179
394,191
485,115
331,453
739,366
286,827
269,461
988,271
308,209
70,707
874,583
470,736
486,239
468,981
889,189
971,656
201,336
935,551
712,516
756,477
466,858
370,158
44,162
492,548
599,986
498,640
18,984
300,890
45,548
609,815
217,787
257,230
773,194
513,400
17,186
206,835
851,798
848,369
223,114
844,464
118,618
52,392
938,169
503,1
182,295
737,248
116,778
556,569
661,108
761,965
368,877
697,757
246,734
85,5
199,137
372,815
595,161
707,465
289,829
234,407
36,489
